,percent_wom,tick,position
96,19.444444444444446,16,Level 1
97,24.666666666666668,16,Level 2
98,32.361111111111114,16,Level 3
99,34.05555555555556,16,Level 4
100,40.30555555555556,16,Level 5
101,47.9849537037037,16,Level 6
102,19.22222222222222,17,Level 1
103,24.666666666666668,17,Level 2
104,32.5,17,Level 3
105,34.19444444444444,17,Level 4
106,40.458333333333336,17,Level 5
107,47.945601851851855,17,Level 6
108,19.333333333333332,18,Level 1
109,25.166666666666664,18,Level 2
110,32.416666666666664,18,Level 3
111,34.08333333333333,18,Level 4
112,40.68518518518518,18,Level 5
113,47.93518518518518,18,Level 6
114,19.77777777777778,19,Level 1
115,25.222222222222225,19,Level 2
116,32.33333333333333,19,Level 3
117,34.09722222222222,19,Level 4
118,40.745370370370374,19,Level 5
119,47.995370370370374,19,Level 6
120,19.77777777777778,20,Level 1
121,25.333333333333336,20,Level 2
122,32.27777777777778,20,Level 3
123,34.44444444444444,20,Level 4
124,40.773148148148145,20,Level 5
125,48.01851851851852,20,Level 6
126,19.88888888888889,21,Level 1
127,25.38888888888889,21,Level 2
128,32.19444444444444,21,Level 3
129,34.625,21,Level 4
130,40.82870370370371,21,Level 5
131,48.03356481481482,21,Level 6
132,19.666666666666664,22,Level 1
133,25.222222222222225,22,Level 2
134,32.25,22,Level 3
135,34.90277777777778,22,Level 4
136,41.023148148148145,22,Level 5
137,48.04398148148148,22,Level 6
138,19.555555555555557,23,Level 1
139,25.166666666666664,23,Level 2
140,32.166666666666664,23,Level 3
141,34.65277777777778,23,Level 4
142,41.26851851851852,23,Level 5
143,48.04050925925926,23,Level 6
144,19.666666666666664,24,Level 1
145,25.166666666666664,24,Level 2
146,32.27777777777778,24,Level 3
147,34.625,24,Level 4
148,41.43981481481481,24,Level 5
149,48.12731481481482,24,Level 6
150,19.666666666666664,25,Level 1
151,25.61111111111111,25,Level 2
152,32.19444444444444,25,Level 3
153,34.77777777777778,25,Level 4
154,41.61574074074074,25,Level 5
155,48.05902777777778,25,Level 6
156,19.666666666666664,26,Level 1
157,25.88888888888889,26,Level 2
158,32.0,26,Level 3
159,34.86111111111111,26,Level 4
160,41.81018518518518,26,Level 5
161,48.05902777777778,26,Level 6
162,19.555555555555557,27,Level 1
163,26.0,27,Level 2
164,32.05555555555556,27,Level 3
165,35.0,27,Level 4
166,41.898148148148145,27,Level 5
167,48.061342592592595,27,Level 6
168,19.333333333333332,28,Level 1
169,26.055555555555554,28,Level 2
170,32.111111111111114,28,Level 3
171,35.125,28,Level 4
172,42.09722222222222,28,Level 5
173,48.052083333333336,28,Level 6
174,19.11111111111111,29,Level 1
175,26.055555555555554,29,Level 2
176,32.33333333333333,29,Level 3
177,35.138888888888886,29,Level 4
178,42.26851851851852,29,Level 5
179,48.00347222222222,29,Level 6
180,18.88888888888889,30,Level 1
181,26.111111111111114,30,Level 2
182,32.52777777777778,30,Level 3
183,35.125,30,Level 4
184,42.50462962962963,30,Level 5
185,47.97337962962963,30,Level 6
186,18.777777777777775,31,Level 1
187,26.27777777777778,31,Level 2
188,32.27777777777778,31,Level 3
189,35.125,31,Level 4
190,42.68981481481482,31,Level 5
191,47.94791666666667,31,Level 6
192,18.666666666666668,32,Level 1
193,26.611111111111114,32,Level 2
194,32.02777777777778,32,Level 3
195,35.208333333333336,32,Level 4
196,42.782407407407405,32,Level 5
197,47.94791666666667,32,Level 6
198,18.88888888888889,33,Level 1
199,26.5,33,Level 2
200,32.0,33,Level 3
201,35.291666666666664,33,Level 4
202,42.83796296296296,33,Level 5
