,percent_wom,tick,position
125,47.77893518518518,20,Level 6
126,27.666666666666668,21,Level 1
127,30.72222222222222,21,Level 2
128,34.80555555555556,21,Level 3
129,38.19444444444444,21,Level 4
130,42.629629629629626,21,Level 5
131,47.79398148148148,21,Level 6
132,27.666666666666668,22,Level 1
133,30.72222222222222,22,Level 2
134,34.86111111111111,22,Level 3
135,38.263888888888886,22,Level 4
136,42.699074074074076,22,Level 5
137,47.769675925925924,22,Level 6
138,27.77777777777778,23,Level 1
139,30.72222222222222,23,Level 2
140,34.61111111111111,23,Level 3
141,38.40277777777778,23,Level 4
142,42.81944444444444,23,Level 5
143,47.78819444444444,23,Level 6
144,27.88888888888889,24,Level 1
145,30.333333333333336,24,Level 2
146,34.55555555555556,24,Level 3
147,38.44444444444444,24,Level 4
148,42.879629629629626,24,Level 5
149,47.795138888888886,24,Level 6
150,27.555555555555557,25,Level 1
151,30.333333333333336,25,Level 2
152,34.55555555555556,25,Level 3
153,38.611111111111114,25,Level 4
154,42.986111111111114,25,Level 5
155,47.761574074074076,25,Level 6
156,27.666666666666668,26,Level 1
157,30.388888888888886,26,Level 2
158,34.75,26,Level 3
159,38.79166666666667,26,Level 4
160,43.08796296296296,26,Level 5
161,47.70601851851852,26,Level 6
162,27.666666666666668,27,Level 1
163,30.72222222222222,27,Level 2
164,34.94444444444444,27,Level 3
165,38.68055555555556,27,Level 4
166,43.25925925925926,27,Level 5
167,47.69097222222222,27,Level 6
168,27.555555555555557,28,Level 1
169,30.88888888888889,28,Level 2
170,34.833333333333336,28,Level 3
171,38.79166666666667,28,Level 4
172,43.351851851851855,28,Level 5
173,47.66087962962963,28,Level 6
174,27.666666666666668,29,Level 1
175,30.777777777777775,29,Level 2
176,34.69444444444444,29,Level 3
177,38.77777777777778,29,Level 4
178,43.29629629629629,29,Level 5
179,47.65162037037037,29,Level 6
180,27.444444444444443,30,Level 1
181,30.944444444444446,30,Level 2
182,34.61111111111111,30,Level 3
183,38.72222222222222,30,Level 4
184,43.35648148148148,30,Level 5
185,47.6400462962963,30,Level 6
186,26.88888888888889,31,Level 1
187,31.055555555555554,31,Level 2
188,34.77777777777778,31,Level 3
189,38.708333333333336,31,Level 4
190,43.449074074074076,31,Level 5
191,47.63194444444444,31,Level 6
192,26.88888888888889,32,Level 1
193,30.944444444444446,32,Level 2
194,34.75,32,Level 3
195,38.611111111111114,32,Level 4
196,43.58796296296296,32,Level 5
197,47.62384259259259,32,Level 6
198,27.333333333333332,33,Level 1
199,31.444444444444446,33,Level 2
200,34.86111111111111,33,Level 3
201,38.513888888888886,33,Level 4
202,43.77777777777778,33,Level 5
203,47.57870370370371,33,Level 6
204,27.22222222222222,34,Level 1
205,31.333333333333336,34,Level 2
206,35.138888888888886,34,Level 3
207,38.59722222222222,34,Level 4
208,43.875,34,Level 5
209,47.607638888888886,34,Level 6
210,27.444444444444443,35,Level 1
211,31.277777777777775,35,Level 2
212,35.27777777777778,35,Level 3
213,38.625,35,Level 4
214,44.03240740740741,35,Level 5
215,47.604166666666664,35,Level 6
216,27.444444444444443,36,Level 1
217,31.833333333333336,36,Level 2
218,35.25,36,Level 3
219,38.94444444444444,36,Level 4
220,44.15277777777778,36,Level 5
221,47.62847222222222,36,Level 6
222,27.88888888888889,37,Level 1
223,31.61111111111111,37,Level 2
224,35.16666666666667,37,Level 3
225,39.08333333333333,37,Level 4
